State_Name,StudyYear,MFCCToddler,MFCCPreschool,_75FCCInfant,_75FCCToddler,_75FCCPreschool
Connecticut,2016,194.25125,187.75,216.665,213.75,207.91625
Connecticut,2017,195.37375,192.125,223.335,217.5,214.58375
Connecticut,2018,196.5,196.5,230.0,221.25,221.25
Delaware,2008,113.29,105.92666666666666,133.96333333333334,131.93333333333334,123.36000000000001
Delaware,2009,115.12,108.81333333333333,136.23666666666665,134.06666666666666,126.71666666666665
Delaware,2010,116.95333333333333,111.69666666666667,138.95000000000002,136.20000000000002,130.07666666666668
Delaware,2011,118.78333333333335,114.58,141.66666666666666,138.33333333333334,133.43333333333334
Delaware,2012,120.21999999999998,114.51999999999998,147.08666666666667,140.0,133.37
Delaware,2013,121.65000000000002,114.46,152.5,141.66666666666666,133.29999999999998
Delaware,2014,126.12,117.33999999999999,155.42,146.87666666666667,136.65333333333334
Delaware,2015,130.59333333333333,120.21999999999998,158.33333333333334,152.08333333333334,140.0
Delaware,2016,132.79999999999998,125.18,161.61,154.65333333333334,145.78
Delaware,2017,135.01,130.14000000000001,164.89,157.23,151.55333333333334
Delaware,2018,137.21666666666667,135.09666666666666,168.16666666666666,159.79999999999998,157.33333333333334
District of Columbia,2012,200.34,192.8,250.4,232.5,223.75
Florida,2008,105.01323076923076,101.67599999999999,134.9176923076923,122.3176923076923,118.342
Florida,2009,109.00230769230768,105.7046153846154,138.15384615384616,126.76923076923077,122.92999999999999
Florida,2010,111.6611475409836,107.04081967213115,138.80803278688526,127.56196721311476,123.11704918032787
Florida,2011,113.30868852459017,107.30065573770491,137.78032786885245,127.17262295081967,122.04590163934427
Florida,2012,114.9567213114754,107.56131147540984,136.75065573770493,126.78245901639343,120.9744262295082
Florida,2013,116.33709677419354,107.56741935483872,135.66983870967744,126.32935483870968,119.88967741935484
Florida,2014,117.85822580645161,108.62290322580645,138.9140322580645,128.13048387096774,121.29693548387097
Florida,2015,119.12865671641791,109.39179104477611,141.3223880597015,129.4116417910448,122.5728358208955
Florida,2016,121.015,111.40375,146.00109375,132.39515625,125.903125
Florida,2017,122.87359375,112.93203125,150.83578125,135.66890625,128.9453125
Georgia,2016,93.64779874213836,93.20754716981132,109.96855345911949,106.38364779874213,104.0880503144654
Hawaii,2011,141.78,136.01,150.5725,150.5725,146.395
Hawaii,2012,142.4975,138.46,151.4425,151.4425,147.115
Hawaii,2013,143.22,140.91500000000002,154.04000000000002,154.04000000000002,149.28
Hawaii,2014,143.9425,143.365,156.635,156.635,151.4425
Hawaii,2015,145.3825,145.095,157.2125,157.2125,157.2125
Hawaii,2016,150.0,150.0,161.5375,161.5375,161.5375
Hawaii,2017,157.2125,151.4425,168.1725,168.1725,162.98000000000002
Hawaii,2018,150.0,136.73250000000002,171.635,171.635,170.48
Idaho,2012,105.72704545454545,98.9240909090909,125.6840909090909,118.88499999999999,112.44068181818183
Idaho,2013,103.80295454545454,98.20477272727273,126.0075,118.43340909090911,111.625
Idaho,2014,100.62886363636363,96.28045454545455,124.82431818181819,116.71477272727272,109.42136363636364
Idaho,2015,97.45340909090909,94.35681818181818,123.63522727272726,115.02863636363637,107.2215909090909
Idaho,2016,99.61272727272727,96.0425,122.75863636363637,116.19954545454544,108.39727272727274
Idaho,2017,101.77090909090909,97.72227272727272,121.87772727272727,117.37068181818182,109.56659090909092
Idaho,2018,103.93227272727272,99.4084090909091,120.99704545454546,118.54363636363637,110.74386363636363
Illinois,2008,97.65686274509804,95.53921568627452,110.63725490196079,109.95098039215686,108.03921568627452
Illinois,2009,102.50490196078431,100.69117647058823,116.85392156862746,113.93333333333334,109.57764705882353
Illinois,2010,107.3529411764706,105.84313725490196,123.07058823529412,117.9156862745098,111.10833333333332
Illinois,2011,109.36764705882354,106.08333333333333,127.82372549019608,123.28803921568627,115.95343137254902
Illinois,2012,111.38235294117646,106.32352941176471,132.56911764705882,128.65882352941176,120.79852941176472
Illinois,2013,118.31333333333332,111.08882352941175,135.32519607843136,130.68480392156863,124.88627450980391
Illinois,2014,125.2436274509804,115.85343137254901,138.0735294117647,132.70147058823528,128.97401960784313
Illinois,2015,128.17745098039217,121.95137254901961,145.30323529411763,137.22696078431372,130.66735294117646
Illinois,2016,131.11127450980393,128.0470588235294,152.52450980392155,141.75245098039215,132.35294117647058
Illinois,2017,131.11127450980393,128.07529411764708,152.9736274509804,142.8799019607843,132.35294117647058
Illinois,2018,131.11127450980393,128.10196078431372,153.4220588235294,144.00735294117646,132.35294117647058
Iowa,2017,100.72040404040403,98.92161616161616,117.30878787878788,117.30878787878788,115.21373737373737
Kansas,2008,73.1504761904762,73.1504761904762,87.82476190476191,82.00761904761904,82.00761904761904
Kansas,2009,71.69904761904762,71.69904761904762,85.5695238095238,80.29142857142857,80.29142857142857
Kansas,2010,70.24761904761905,70.24761904761905,83.31428571428572,78.57523809523809,78.57523809523809
Kansas,2011,71.37714285714286,71.37714285714286,86.23238095238095,79.4552380952381,79.4552380952381
Kansas,2012,72.50666666666667,72.50666666666667,89.15047619047618,80.33523809523808,80.33523809523808
Kansas,2013,75.29142857142857,75.29142857142857,95.08952380952381,79.91619047619047,79.91619047619047
Kansas,2014,76.86571428571429,76.86571428571429,96.69904761904762,83.4409523809524,83.4409523809524
Kansas,2015,78.43999999999998,78.43999999999998,98.30857142857143,86.96571428571428,86.96571428571428
Kansas,2016,80.01428571428572,80.01428571428572,99.91809523809523,90.49047619047619,90.49047619047619
Kansas,2017,81.58857142857143,81.58857142857143,101.52761904761904,94.0152380952381,94.0152380952381
Kansas,2018,83.16285714285715,83.16285714285715,105.21866666666666,97.53999999999999,97.53999999999999
Kentucky,2008,80.22991666666667,80.22991666666667,100.75,93.31400000000001,93.31400000000001
Kentucky,2009,83.82883333333332,83.82883333333332,103.625,97.5,97.5
Kentucky,2010,87.429,87.429,106.5,101.68900000000001,101.68900000000001
Kentucky,2011,91.02716666666667,91.02716666666667,109.375,105.875,105.875
Kentucky,2012,97.90883333333333,97.90883333333333,121.09525000000001,113.875,113.875
Kentucky,2013,104.79266666666666,104.79266666666666,132.8125,121.875,121.875
Kentucky,2014,97.91708333333332,97.91708333333332,124.21066666666667,112.92425,112.92425
Kentucky,2015,91.04166666666667,91.04166666666667,115.60658333333332,103.96866666666666,103.96866666666666
Kentucky,2016,92.57291666666667,92.57291666666667,114.71058333333333,104.44033333333333,104.44033333333333
Kentucky,2017,94.10416666666667,94.10416666666667,113.8125,104.90625,104.90625
Kentucky,2018,95.63541666666667,95.63541666666667,115.07958333333333,105.45174999999999,105.45174999999999
Louisiana,2008,81.5,78.515625,92.86140625,89.2878125,86.99296875
Louisiana,2009,83.85859375,80.9375,96.265625,92.56,90.0
Louisiana,2010,86.40703125,84.453125,101.260625,97.5153125,94.47265625
Louisiana,2011,88.53203125,86.7875,104.14,100.638125,97.69609375
Louisiana,2012,90.65625,89.31640625,107.01656249999999,103.75671875,100.91609375
Louisiana,2013,89.844375,88.1690625,106.5265625,102.9671875,101.25421874999999
Louisiana,2014,89.0296875,87.47859375,106.03328125,102.17625,101.7228125
Louisiana,2015,88.2165625,87.24609375,106.16171875,101.38671875,102.4171875
Louisiana,2016,88.965625,88.18375,108.416875,103.0403125,105.33890625
Maine,2012,119.6875,112.8125,137.31,131.03625,128.20375
Maine,2013,122.5,115.625,140.15625,133.828125,129.53125
Maine,2014,125.3125,118.4375,144.805,138.789375,134.14125
Maine,2015,128.125,121.25,150.9375,143.75,138.75
Maine,2016,132.34312500000001,126.088125,155.62375,148.769375,143.02
Maine,2017,136.56312499999999,130.928125,160.43875,153.793125,147.2925
Maine,2018,140.78125,135.76625,166.4375,158.8125,151.5625
Maryland,2013,132.19166666666666,132.19166666666666,174.84333333333333,148.58333333333334,148.58333333333334
Maryland,2014,133.54166666666666,133.54166666666666,177.24,150.90333333333334,150.90333333333334
Maryland,2015,134.89166666666668,134.89166666666668,179.63666666666666,153.22333333333333,153.22333333333333
Maryland,2016,136.24958333333333,136.24958333333333,182.03083333333333,155.54333333333332,155.54333333333332
Maryland,2017,137.60083333333333,137.60083333333333,184.4283333333333,157.86291666666668,157.86291666666668
Maryland,2018,138.95708333333334,138.95708333333334,187.23041666666666,160.185,160.185
Massachusetts,2008,191.42857142857142,191.42857142857142,228.39285714285714,218.21428571428572,218.21428571428572
Massachusetts,2009,191.7864285714286,191.7864285714286,231.64357142857145,220.0007142857143,220.0007142857143
Massachusetts,2010,192.14214285714283,192.14214285714283,234.89214285714283,221.785,221.785
Massachusetts,2011,192.5,192.5,238.14285714285714,223.57142857142858,223.57142857142858
Massachusetts,2012,198.03571428571428,196.30357142857142,244.15642857142856,230.84857142857143,230.80357142857142
Massachusetts,2013,203.57142857142858,200.10714285714286,250.16785714285714,238.125,238.03571428571428
Massachusetts,2014,209.10714285714286,203.91071428571428,256.18142857142857,245.40214285714288,245.26785714285714
Massachusetts,2015,214.64285714285714,207.71428571428572,262.1928571428571,252.67857142857142,252.5
Massachusetts,2016,215.23714285714286,207.1092857142857,264.675,249.99857142857144,249.4042857142857
Massachusetts,2017,215.8342857142857,206.49785714285716,267.1607142857143,247.32285714285715,246.31
Massachusetts,2018,216.42857142857142,205.89285714285714,269.64285714285717,244.64285714285714,243.21428571428572
Michigan,2008,103.31638554216867,96.49819277108435,122.32301204819277,118.14144578313253,115.00192771084338
Michigan,2009,92.4290361445783,84.95301204819278,108.7124096385542,100.34939759036145,100.34939759036145
Michigan,2010,97.42180722891567,93.6832530120482,121.57265060240965,117.39180722891567,112.51867469879517
Michigan,2011,102.41385542168675,102.41385542168675,134.43349397590362,134.43349397590362,124.68686746987952
Michigan,2012,102.51313253012049,102.51313253012049,134.56963855421688,134.56963855421688,121.27722891566265
Michigan,2013,102.6133734939759,102.6133734939759,134.70530120481928,134.70530120481928,117.86698795180722
Michigan,2014,101.83638554216867,99.38132530120481,126.17144578313253,126.17144578313253,114.89566265060242
Michigan,2015,101.05915662650602,96.14987951807228,117.6377108433735,117.6377108433735,111.92433734939759
Michigan,2016,104.52867469879517,99.91927710843373,122.90072289156626,121.67795180722892,116.31192771084336
Michigan,2017,107.99951807228915,103.68915662650603,128.16385542168675,125.71686746987952,120.70012048192771
Michigan,2018,111.46951807228915,107.45759036144578,133.42674698795182,129.75722891566267,125.08783132530121
Minnesota,2008,117.41379310344827,113.62068965517241,131.16850574712643,126.27586206896552,121.82758620689656
Minnesota,2009,116.4367816091954,112.44252873563218,131.32183908045977,125.63218390804597,121.4367816091954
Minnesota,2010,115.45977011494253,111.26436781609195,131.72413793103448,124.98850574712644,121.04597701149426
Minnesota,2011,115.59770114942529,112.58620689655173,130.75540229885056,124.88505747126437,123.04597701149426
Minnesota,2012,117.816091954023,112.94540229885058,132.35632183908046,126.89655172413794,122.816091954023
Minnesota,2013,119.3103448275862,113.83137931034483,135.89080459770116,129.2528735632184,124.51149425287356
Minnesota,2014,120.80459770114942,114.71264367816092,139.42528735632183,131.60919540229884,126.20689655172414
Minnesota,2015,122.90229885057471,117.26379310344828,141.95402298850576,133.82183908045977,128.2183908045977
Minnesota,2016,125.0,119.81494252873563,144.48275862068965,136.0344827586207,130.22988505747125
Minnesota,2017,127.78735632183908,123.81551724137933,145.94827586206895,138.99425287356323,133.27586206896552
Minnesota,2018,130.57471264367817,127.816091954023,147.41379310344828,141.95402298850576,136.32183908045977
Mississippi,2010,65.34317073170732,65.34317073170732,76.03317073170732,76.03317073170732,76.03317073170732
Mississippi,2011,61.77756097560976,61.77756097560976,71.88329268292684,71.88329268292684,71.88329268292684
Mississippi,2012,58.211341463414634,58.211341463414634,82.5060975609756,67.73378048780488,67.73378048780488
Mississippi,2013,54.64621951219512,54.64621951219512,93.1280487804878,63.58548780487805,63.58548780487805
Mississippi,2014,55.839878048780484,54.19024390243903,84.70792682926829,64.97524390243903,63.05560975609757
Mississippi,2015,57.034878048780485,53.73487804878049,76.28682926829268,66.36560975609756,62.52573170731707
Mississippi,2016,58.22963414634146,53.27939024390244,67.86682926829268,67.75646341463414,61.99609756097561
Mississippi,2017,59.424390243902444,52.82475609756098,69.14548780487806,69.14548780487806,61.46658536585366
Mississippi,2018,60.61865853658536,52.36963414634147,70.62914634146341,70.53536585365853,60.93646341463415
Missouri,2015,77.29499999999999,77.29499999999999,108.265,89.7,89.7
Missouri,2016,85.69749999999999,85.69749999999999,115.055,99.57,99.57
Missouri,2017,105.695,105.695,139.215,122.66499999999999,122.66499999999999
Missouri,2018,99.95599999999999,99.95599999999999,128.084,116.0,116.0
Montana,2016,100.70535714285714,100.70535714285714,125.48428571428572,117.11839285714287,117.11839285714287
Nebraska,2016,110.11182795698925,110.08602150537635,130.05376344086022,127.9763440860215,121.47956989247312
Nebraska,2017,110.79139784946237,110.7741935483871,127.84946236559139,126.46451612903226,122.13333333333333
Nebraska,2018,111.47096774193548,111.46236559139786,125.64516129032258,124.95268817204301,122.78709677419356
Nevada,2008,140.30764705882353,138.87588235294118,156.78411764705882,151.33705882352942,144.3170588235294
Nevada,2009,120.66352941176469,117.35588235294118,126.17823529411763,120.66352941176469,117.35588235294118
Nevada,2010,124.8558823529412,119.50647058823529,139.48176470588237,132.34117647058824,128.1829411764706
Nevada,2011,129.04823529411766,121.65647058823528,152.87235294117647,144.01941176470586,139.00941176470587
Nevada,2012,127.01352941176471,122.67235294117648,132.95823529411766,127.01352941176471,122.67235294117648
Nevada,2013,130.63588235294117,131.97470588235296,150.35470588235296,145.50882352941176,143.7670588235294
Nevada,2014,138.36117647058822,140.72176470588235,156.73705882352942,154.21411764705883,152.97000000000003
Nevada,2015,147.82461538461538,144.1946153846154,176.64692307692306,175.10846153846154,173.5223076923077
Nevada,2016,156.76,154.26500000000001,193.12,188.25125,186.56625
New Hampshire,2018,159.241,159.241,170.691,168.44400000000002,161.708
New Jersey,2008,133.99428571428572,119.63714285714286,160.8995238095238,146.70238095238096,141.9704761904762
New Jersey,2016,162.14285714285714,150.8095238095238,189.95238095238096,181.1904761904762,172.8095238095238
New Jersey,2017,166.19666666666666,154.70666666666668,193.72238095238095,186.03190476190477,176.91476190476192
New Jersey,2018,170.29809523809521,158.60285714285715,197.76238095238097,190.92190476190476,181.56428571428572
New York,2018,166.9666129032258,163.8641935483871,204.0851612903226,194.35629032258063,190.74887096774194
North Carolina,2014,107.86571428571429,103.16663265306123,139.37571428571428,129.18489795918367,122.8269387755102
North Carolina,2015,111.56549999999999,106.9808,139.5494,129.8639,124.527
North Carolina,2016,116.25969387755103,112.02734693877551,141.21673469387756,132.41622448979592,128.18030612244897
North Carolina,2017,120.58540816326531,116.72061224489796,143.13489795918366,134.53255102040816,131.41591836734693
North Carolina,2018,124.91061224489796,121.41408163265307,145.22214285714287,136.6495918367347,134.65214285714285
North Dakota,2008,81.11622641509433,81.11622641509433,89.60622641509434,81.11622641509433,81.11622641509433
North Dakota,2009,82.13207547169812,82.13207547169812,89.0388679245283,82.13207547169812,82.13207547169812
North Dakota,2010,83.14849056603774,83.14849056603774,90.45981132075471,85.16943396226414,86.0877358490566
North Dakota,2011,84.16396226415094,84.16396226415094,91.8811320754717,88.20622641509435,90.0433962264151
North Dakota,2012,88.10735849056603,88.10735849056603,97.26150943396226,92.6156603773585,93.99320754716982
North Dakota,2013,92.05169811320755,92.05169811320755,102.64245283018869,97.02547169811321,97.94490566037736
North Dakota,2014,95.9943396226415,95.9943396226415,108.02415094339622,101.43509433962265,101.8943396226415
North Dakota,2015,99.93886792452831,99.93886792452831,113.40433962264152,105.84509433962265,105.84509433962265
North Dakota,2016,103.4266037735849,99.59509433962265,116.77490566037736,111.11792452830188,109.24094339622641
North Dakota,2017,106.91415094339622,103.0966037735849,120.14603773584905,116.39113207547169,112.63641509433961
North Dakota,2018,110.4033962264151,106.59716981132075,123.51566037735849,121.66528301886792,116.03226415094339
Ohio,2009,133.32647727272726,130.93102272727273,186.68011363636361,147.80931818181818,144.00227272727273
Ohio,2010,133.44897727272726,128.76397727272726,173.96443181818182,148.8296590909091,144.69261363636363
Ohio,2011,133.57511363636365,126.59943181818181,164.7565909090909,150.6515909090909,146.37522727272727
Ohio,2012,133.69761363636363,124.43238636363635,155.54500000000002,152.4665909090909,148.05511363636364
Ohio,2013,137.11386363636365,128.90227272727273,165.54363636363635,160.58602272727273,153.96113636363637
Ohio,2014,140.52352272727273,133.36784090909092,175.53965909090908,168.69806818181817,159.86204545454544
Ohio,2015,141.4296590909091,133.13386363636366,174.91511363636366,167.95375,158.44715909090908
Ohio,2016,142.32988636363638,132.89409090909092,174.2869318181818,167.20204545454547,157.02806818181818
Ohio,2017,142.0234090909091,132.81,170.96875,162.64011363636362,153.26181818181817
Ohio,2018,141.7140909090909,132.71875,167.64772727272728,158.0681818181818,149.48863636363637
Oklahoma,2008,79.5287012987013,79.5287012987013,89.65194805194805,79.5287012987013,79.5287012987013
Oklahoma,2009,82.38181818181818,82.38181818181818,92.39753246753246,82.38181818181818,82.38181818181818
Oklahoma,2010,85.23376623376623,85.23376623376623,95.14272727272727,85.23376623376623,85.23376623376623
Oklahoma,2011,89.69324675324675,89.69324675324675,97.47116883116882,89.69324675324675,89.69324675324675
Oklahoma,2012,94.15285714285713,94.15285714285713,99.80155844155844,94.15285714285713,94.15285714285713
Oklahoma,2013,97.13714285714286,97.13714285714286,101.52,97.13714285714286,97.13714285714286
Oklahoma,2014,100.12194805194805,100.12194805194805,103.23935064935065,100.12194805194805,100.12194805194805
Oklahoma,2015,102.27337662337662,102.27337662337662,105.42,102.27337662337662,102.27337662337662
Oklahoma,2016,104.42441558441558,104.42441558441558,107.59922077922077,104.42441558441558,104.42441558441558
Oklahoma,2017,106.57675324675324,106.57675324675324,109.77987012987012,106.57675324675324,106.57675324675324
Oklahoma,2018,108.7274025974026,108.7274025974026,112.00688311688313,108.77233766233765,108.77233766233765
Oregon,2008,98.17138888888888,98.17138888888888,114.42305555555555,105.61111111111111,105.61111111111111
Oregon,2009,98.84611111111111,98.84611111111111,115.06416666666665,106.42361111111111,106.42361111111111
Oregon,2010,99.52027777777778,99.52027777777778,115.70472222222222,107.23694444444443,107.23694444444443
Oregon,2011,99.67,99.67,115.62472222222222,108.92138888888888,108.90527777777778
Oregon,2012,99.82,99.82,115.54472222222222,110.60916666666668,110.57694444444445
Oregon,2013,105.99833333333333,105.99833333333333,123.90194444444445,120.69916666666667,120.68305555555555
