street_number,street_name,city,zip_code,category,building_type,living_area,total_value,year_built,price_per_sft
641,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1872,522100,1900,278
519,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,896,504600,1910,562
523,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1204,511100,1910,424
551,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1850,580200,1890,313
76,MOORE ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1574,611900,1900,388
78,MOORE ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1087,535000,1910,491
40,HORACE ST,East Boston,2128,Single Fam Dwelling,Cn - Contemporary,1727,868500,2003,502
38,HORACE ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1461,571400,1910,390
34,HORACE ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1106,681900,1910,616
24,HORACE ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2165,703700,1910,324
583,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,956,476700,1910,498
585,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1625,501800,1890,308
84,HORACE ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1352,396200,1900,293
60,HORACE ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,949,436200,1900,459
85,MOORE ST,East Boston,2128,Single Fam Dwelling,Sl - Split Level,1014,585900,1966,577
747,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,3615,1046200,2012,289
759,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1448,470200,1900,324
606,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1401,508500,1900,362
604,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1161,415100,1910,357
602,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1938,691400,1900,356
600,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,788,508100,1900,644
795,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,3132,842300,1910,268
799,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2106,474700,1900,225
105,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1294,507500,1970,392
673,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1610,639700,1938,397
681,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1512,413000,1910,273
683,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1878,517500,1890,275
134,WORDSWORTH ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1003,472100,1914,470
700,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Tl - Tri-Level,2719,626300,1960,230
692,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1158,420000,1920,362
690,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,904,387900,1900,428
688,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1096,375200,1900,342
686,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1048,367500,1900,350
684,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,988,429600,1900,434
682,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1654,433500,1900,262
666,BENNINGTON ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,878,409200,1900,465
865,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1290,457100,1918,354
869,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1048,446100,1920,425
897,SARATOGA ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1385,477900,1900,344
152,COLERIDGE ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1562,745400,1920,477
202,BYRON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2200,644000,1900,292
198,BYRON ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,2126,998100,1912,469
155,COWPER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1610,733300,1928,455
157,COWPER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1158,594700,1900,513
88,HOMER ST,East Boston,2128,Single Fam Dwelling,Rn - Ranch,1560,745100,2000,477
76,HOMER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1388,708200,1900,510
74,HOMER ST,East Boston,2128,Single Fam Dwelling,Rr - Raised Ranch,1248,436700,1986,349
70,HOMER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,943,441500,1900,467
66,HOMER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1118,552100,1900,493
93,MOORE ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1344,626500,1991,466
59,HORACE ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1098,584000,1900,531
73,HORACE ST,East Boston,2128,Single Fam Dwelling,Cp - Cape,1006,485800,1900,482
107,HOMER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,2035,657500,1910,323
114,COWPER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1663,621300,1910,373
110,COWPER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1569,641900,1910,408
106,COWPER ST,East Boston,2128,Single Fam Dwelling,Cl - Colonial,1550,579600,1910,373
95,HOMER ST,East Boston,2128,Single Fam Dwelling,Cv - Conventional,1890,863600,1910,456
